번호,부호 이름,기능,그리는 법,적용 예 → 교정 결과
1,띄움표,붙여 쓴 곳을 띄운다,띄울 자리에 ∨,만난친구 → 만난 친구
2,붙임표,잘못 띄운 곳을 붙인다,두 글자를 위아래 호로 감싼다,그리 고 → 그리고
3,넣음표,빠진 글자를 끼워 넣는다,∨ 위에 넣을 글자를 쓴다,친구 만났다 → 친구를 만났다
4,부호 넣음표,빠진 문장부호를 넣는다,∨ 위에 넣을 부호를 쓴다,"네 알겠습니다 → 네, 알겠습니다"
5,뺌표,필요 없는 글자를 뺀다,두 줄을 긋고 갈고리로 뺀다,매우 아주 춥다 → 매우 춥다
6,고침표,틀린 글자를 바로잡는다,선을 긋고 위에 바른 글자를 쓴다,갔읍니다 → 갔습니다
7,자리 바꿈표,앞뒤 순서를 맞바꾼다,두 덩이를 S자로 감는다,빨리 아주 → 아주 빨리
8,줄 바꿈표,한 줄을 두 줄로 나눈다,나눌 자리에서 아래로 꺾는다,끝났다. 다음 날 → 두 줄로 나눔
9,줄 이음표,두 줄을 한 줄로 잇는다,앞 줄 끝과 뒤 줄 첫머리를 잇는다,비가 / 왔다. → 비가 왔다.
10,들여쓰기표,문단 첫 칸을 들여 쓴다,줄 머리에 오른쪽으로 꺾은 갈고리,우리는 모두 → (첫 칸 들여쓰기)
11,내어쓰기표,들여 쓴 줄을 내어 쓴다,줄 머리에 왼쪽으로 꺾은 갈고리,  우리는 모두 → 우리는 모두
12,끌어 올림표,아래 줄 내용을 위로 올린다,위로 꺾는 화살표,아래 줄 내용을 위 줄 끝으로
13,끌어 내림표,위 줄 내용을 아래로 내린다,아래로 꺾는 화살표,위 줄 내용을 아래 줄로
14,되살림표,교정을 취소하고 원문대로 둔다,점선을 긋고 '살림'이라 쓴다,매우 추운 날 (뺌표 취소) → 매우 추운 날
